Offshore Wind - Fixed,,,,,,,,,,,,,,,,
REZ ID,REZ Name,Region,Reference year (Financial year ending),,,,,,,,,,,,,Avg of ref years
,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
N10,Hunter Coast,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N11,Illawarra Coast,NSW,42%,39%,42%,43%,41%,40%,41%,42%,40%,41%,41%,41%,43%,41%
V7,Gippsland Coast,VIC,46%,45%,45%,48%,45%,46%,47%,48%,47%,50%,48%,49%,46%,47%
V8,Portland Coast,VIC,43%,46%,45%,47%,43%,43%,44%,45%,45%,48%,45%,48%,44%,45%
S10,South East SA Coast,SA,42%,46%,44%,48%,44%,44%,43%,45%,46%,47%,44%,48%,45%,45%
T4,North Tasmanian Coast,TAS,48%,49%,46%,51%,46%,47%,48%,50%,50%,52%,49%,50%,47%,49%
